year,month,country,actuals,predictions
1996,0,United Kingdom,877.3220585492604,985.0439734864977
1997,0,United Kingdom,952.73935311932,924.5774627998393
1998,0,United Kingdom,1170.8911842534367,919.0937718795415
1999,0,United Kingdom,1127.7360011038775,906.3636454747661
2000,0,United Kingdom,1217.1159037820864,968.8341062231356
2001,0,United Kingdom,981.2414163836727,962.6663221161792
2002,0,United Kingdom,1135.4981441600448,1002.1831540022281
2003,0,United Kingdom,844.912983053972,972.4086009998327
2004,0,United Kingdom,1081.5670533016298,961.3561214647947
2005,0,United Kingdom,970.8034909272067,901.3128173594607
2006,0,United Kingdom,1054.9804730147878,944.479859109247
2007,0,United Kingdom,1077.236605961527,952.426514231008
2008,0,United Kingdom,1164.1837904445379,976.3393623733514
2009,0,United Kingdom,1082.5737584489925,968.9406526159744
2010,0,United Kingdom,877.5910268195479,987.3525202107678
2011,0,United Kingdom,1033.1237628967529,971.3788412008648
2012,0,United Kingdom,1225.356823801184,948.2601126782381
2013,0,United Kingdom,976.4003220397858,947.6359586464994
